Parameter,Value,Call Price
Volatility,0.1,180.6693552065807
Volatility,0.14444444444444446,181.04570162584994
Volatility,0.18888888888888888,182.48861946317055
Volatility,0.23333333333333334,185.0833256156996
Volatility,0.2777777777777778,188.4775361671648
Volatility,0.32222222222222224,192.27531130677292
Volatility,0.3666666666666667,196.16367733521105
Volatility,0.4111111111111111,199.92396967148815
Volatility,0.4555555555555556,203.41552047859133
Volatility,0.5,206.55702249633703
Stock Price,50.0,31.64346354581445
Stock Price,61.111111111111114,41.038047357474134
Stock Price,72.22222222222223,50.710344140414385
Stock Price,83.33333333333333,60.59161438617362
Stock Price,94.44444444444444,70.63541814089137
Stock Price,105.55555555555556,80.80891205197821
Stock Price,116.66666666666666,91.08802868930707
Stock Price,127.77777777777777,101.4546223891091
Stock Price,138.88888888888889,111.89468874579742
Stock Price,150.0,122.39720597028597
Strike Price,100.0,201.88301988374295
Strike Price,111.11111111111111,200.13359428554136
Strike Price,122.22222222222223,198.43707574198882
Strike Price,133.33333333333331,196.79001043879708
Strike Price,144.44444444444446,195.18930618448059
Strike Price,155.55555555555554,193.6321814876395
Strike Price,166.66666666666666,192.1161231926796
Strike Price,177.77777777777777,190.6388511399083
Strike Price,188.88888888888889,189.19828855465587
Strike Price,200.0,187.79253710746696
Time to Maturity,0.0821917808219178,41.601439945274336
Time to Maturity,0.1841704718417047,42.98502223774648
Time to Maturity,0.2861491628614916,44.63777724058835
Time to Maturity,0.3881278538812785,46.35463891682792
Time to Maturity,0.4901065449010654,48.06252336808171
Time to Maturity,0.5920852359208523,49.73582243255996
Time to Maturity,0.6940639269406392,51.366113483447435
Time to Maturity,0.7960426179604262,52.95168868773325
Time to Maturity,0.898021308980213,54.493561132958064
Time to Maturity,1.0,55.99381368747467
Risk-free Rate,0.01,151.755213229269
Risk-free Rate,0.020000000000000004,163.31867310353522
Risk-free Rate,0.030000000000000006,173.64293683166264
Risk-free Rate,0.04000000000000001,182.6528973667703
Risk-free Rate,0.05000000000000001,190.34786503751732
Risk-free Rate,0.06000000000000001,196.78797282808577
Risk-free Rate,0.07,202.0775138145535
Risk-free Rate,0.08,206.34790194667872
Risk-free Rate,0.09000000000000001,209.74235397135098
Risk-free Rate,0.1,212.4035959266067
