Parameter,Value,Put Price
Volatility,0.1,0.012784033298066766
Volatility,0.14444444444444446,0.38913045256732937
Volatility,0.18888888888888888,1.8320482898879087
Volatility,0.23333333333333334,4.426754442416988
Volatility,0.2777777777777778,7.820964993882161
Volatility,0.32222222222222224,11.618740133490308
Volatility,0.3666666666666667,15.507106161928432
Volatility,0.4111111111111111,19.267398498205523
Volatility,0.4555555555555556,22.758949305308736
Volatility,0.5,25.90045132305439
Stock Price,50.0,21.80689237253181
Stock Price,61.111111111111114,20.090365073080378
Stock Price,72.22222222222223,18.65155074490952
Stock Price,83.33333333333333,17.421709879557664
Stock Price,94.44444444444444,16.35440252316431
Stock Price,105.55555555555556,15.416785323140006
Stock Price,116.66666666666666,14.584790849357782
Stock Price,127.77777777777777,13.840273438048687
Stock Price,138.88888888888889,13.169228683625892
Stock Price,150.0,12.560634797003331
Strike Price,100.0,3.376035898585932
Strike Price,111.11111111111111,4.105834302033557
Strike Price,122.22222222222223,4.8885397601302465
Strike Price,133.33333333333331,5.720698458587727
Strike Price,144.44444444444446,6.59921820592045
Strike Price,155.55555555555554,7.52131751072858
Strike Price,166.66666666666666,8.484483217417882
Strike Price,177.77777777777777,9.486435166295808
Strike Price,188.88888888888889,10.52509658269263
Strike Price,200.0,11.598569137152914
Time to Maturity,0.0821917808219178,0.04323182283112814
Time to Maturity,0.1841704718417047,0.5150963409784843
Time to Maturity,0.2861491628614916,1.260770526938181
Time to Maturity,0.3881278538812785,2.0751647603717522
Time to Maturity,0.4901065449010654,2.885171679473313
Time to Maturity,0.5920852359208523,3.6651597783647496
Time to Maturity,0.6940639269406392,4.406683204869257
Time to Maturity,0.7960426179604262,5.108011018737756
Time to Maturity,0.898021308980213,5.770133317795242
Time to Maturity,1.0,6.395110097603215
Risk-free Rate,0.01,64.28249295197823
Risk-free Rate,0.020000000000000004,41.28476760045997
Risk-free Rate,0.030000000000000006,26.005475584970455
Risk-free Rate,0.04000000000000001,16.047855510966688
Risk-free Rate,0.05000000000000001,9.691293864234694
Risk-free Rate,0.06000000000000001,5.7217727079713505
Risk-free Rate,0.07,3.2996709000902387
Risk-free Rate,0.08,1.8571335387729673
Risk-free Rate,0.09000000000000001,1.0193462645059352
Risk-free Rate,0.1,0.5452682328222181
